NETWERK 1
NODES 15668
1670 2236 254
1671 2252 254
1672 2836 254
1673 2871 254
1674 72 255
1675 807 255
1676 831 255
1677 843 255
1678 904 255
1679 2154 255
1680 2178 255
1681 2196 255
1682 2217 255
1683 2798 255
1684 2816 255
1685 2919 255
1686 770 256
1687 782 256
1688 794 256
1689 866 256
1690 2135 256
1691 2779 256
1692 2856 256
1693 554 257
1694 734 257
1695 752 257
1696 2112 257
1697 2869 257
1698 267 258
1699 344 258
1700 1978 258
1701 2734 258
1702 2762 258
1703 484 259
1704 717 259
1705 2707 259
1706 2775 259
1707 19 260
1708 672 260
1709 687 260
1710 1789 260
1711 1962 260
1712 1981 260
1713 2679 260
1714 313 261
1715 1805 261
1716 1942 261
1717 2622 261
1718 2651 261
1719 1864 262
1720 1897 262
1721 2588 262
1722 917 263
1723 1808 263
1724 1831 263
1725 1849 263
1726 2533 263
1727 16 264
1728 575 264
1729 884 264
1730 1764 264
1731 1787 264
1732 2510 264
1733 2542 264
1734 2629 264
1735 2647 264
1736 92 265
1737 188 265
1738 2456 265
1739 2488 265
1740 2923 265
1741 61 266
1742 879 266
1743 1698 266
1744 1705 266
1745 2353 266
1746 2394 266
1747 2410 266
1748 2426 266
1749 2478 266
1750 -62 267
1751 138 267
1752 211 267
1753 1534 267
1754 1632 267
1755 2300 267
1756 2316 267
1757 2338 267
1758 2370 267
1759 2381 267
1760 2434 267
1761 412 268
1762 1459 268
1763 1603 268
1764 2277 268
1765 1444 269
1766 1538 269
1767 1566 269
1768 2217 269
1769 2232 269
1770 2245 269
1771 2254 269
1772 1517 270
1773 2189 270
1774 2199 270
1775 1461 271
1776 1487 271
1777 2144 271
1778 2167 271
1779 302 272
1780 931 272
1781 988 272
1782 1425 272
1783 1442 272
1784 2080 272
1785 2112 272
1786 2134 272
1787 329 273
1788 932 273
1789 2035 273
1790 2057 273
1791 2089 273
1792 -70 274
1793 2025 274
1794 4 275
1795 177 275
1796 1020 275
1797 1287 275
1798 1302 275
1799 1946 275
1800 1965 275
1801 1979 275
1802 1995 275
1803 81 276
1804 350 276
1805 1199 276
1806 1901 276
1807 1909 276
1808 1916 276
1809 1931 276
1810 200 277
1811 1024 277
1812 1082 277
1813 1168 277
1814 1184 277
1815 1863 277
1816 1886 277
1817 1893 277
1818 127 278
1819 1102 278
1820 1825 278
1821 1832 278
1822 1840 278
1823 2817 278
1824 2895 278
1825 1792 279
1826 1805 279
1827 1817 279
1828 2488 279
1829 2511 279
1830 2775 279
1831 2798 279
1832 2870 279
1833 951 280
1834 986 280
1835 1755 280
1836 1779 280
1837 2435 280
1838 2456 280
1839 2763 280
1840 2735 281
1841 291 282
1842 969 282
1843 1712 282
1844 1738 282
1845 1667 283
1846 1689 283
1847 -50 284
1848 880 284
1849 910 284
1850 915 284
1851 1621 284
1852 1636 284
1853 1651 284
1854 2858 284
1855 -7 285
1856 831 285
1857 837 285
1858 844 285
1859 856 285
1860 868 285
1861 1567 285
1862 1591 285
1863 1606 285
1864 2629 285
1865 2824 285
1866 2837 285
1867 2931 285
1868 771 286
1869 783 286
1870 795 286
1871 807 286
1872 918 286
1873 1519 286
1874 1537 286
1875 1552 286
1876 2167 286
1877 2588 286
1878 39 287
1879 71 287
1880 734 287
1881 752 287
1882 765 287
1883 1471 287
1884 1499 287
1885 2145 287
1886 2478 287
1887 1353 288
1888 1437 288
1889 1451 288
1890 2401 288
1891 2410 288
1892 2426 288
1893 2456 288
1894 116 289
1895 189 289
1896 1306 289
1897 1392 289
1898 1414 289
1899 2346 289
1900 2353 289
1901 2370 289
1902 2381 289
1903 2394 289
1904 2533 289
1905 2680 289
1906 235 290
1907 1277 290
1908 1370 290
1909 2317 290
1910 2338 290
1911 2511 290
1912 2647 290
1913 161 291
1914 1272 291
1915 2254 291
1916 2278 291
1917 468 292
1918 1200 292
1919 1215 292
1920 1230 292
